,uuid,KEY,City,Site,Sex_HH,DrinkingWaterGroup,DrinkingWater_Private,DrinkingWater_Public,DrinkingWaterDist,DrinkingWaterLocation,DrinkingWater_PublicSpec,DrinkingWater_PublicVendor,DrinkingWaterAvailability,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,HHITEMS/Computer,HHITEMS/Electricity,HHITEMS/Internet,HHITEMS/Oven,HHITEMS/Radio,HHITEMS/Refrigerator,HHITEMS/Smartphone,HHITEMS/Television,HHITEMS/Noitems,HHITEMS/NA,HHMATERIALS,HHEXTWALLS,HHROOF,HHFLOOR,HHROOMS,HHCOOKING,StreetFood
0,51e3d6c74bba45febd33457e11a9b459,uuid:464423ec-b7a0-4924-b3e4-ce85bb6a5286,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_NOT_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,0,0,1,0,0,1,0,0,Y,Covered_adobe,CementFiber,Cement,1,Outdoors,0_1
1,51e3d6c74bba45febd33457e11a9b459,uuid:b3296fc2-e492-42ae-adb3-7bd1d50ce72e,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,2_4
2,51e3d6c74bba45febd33457e11a9b459,uuid:ecad555f-212d-4188-9228-bb80e0fcba51,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,0,0,1,0,0,0,0,0,Y,Covered_adobe,Metal,Ceramic,1,House,0_1
3,51e3d6c74bba45febd33457e11a9b459,uuid:9c38f788-bf34-4a13-a70e-782eea816703,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,1,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,4,House,2_4
4,51e3d6c74bba45febd33457e11a9b459,uuid:5af42a84-d16f-465c-bd56-8e8a07b2dda1,Abidjan,Azito,M,Private,Piped_yard,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_septic_tank,N,Y,Clean,Any_time,0,1,1,0,0,0,1,1,0,0,Y,Covered_adobe,Metal,Ceramic,2,House,2_4
5,51e3d6c74bba45febd33457e11a9b459,uuid:50bd2169-3a72-4d7a-85d3-580667bcbe4d,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,1,0,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,3,House,2_4
6,51e3d6c74bba45febd33457e11a9b459,uuid:b08a7cd9-67cf-45a0-9552-26956400cf7a,Abidjan,Azito,M,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,1,1,1,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,2,House,2_4
7,51e3d6c74bba45febd33457e11a9b459,uuid:a865767a-cd99-4a27-8196-e82939a35de3,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,1,House,5_Or_More
8,51e3d6c74bba45febd33457e11a9b459,uuid:7ffec7a6-a940-4163-a1b1-51a2d2d69dee,Abidjan,Azito,M,Private,Piped_dwel,,,,,,N,Obs_Mobile,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_septic_tank,N,Y,,,0,1,1,0,0,1,1,1,0,0,Y,Covered_adobe,CeramicTiles,Cement,3,House,2_4
9,51e3d6c74bba45febd33457e11a9b459,uuid:05d79113-0b30-48b6-a3fe-978337497171,Abidjan,Azito,F,Private,Piped_dwel,,,,,,Y,Obs_Fixed,SoapOrDeterg,Water_OK,Own_Dwelling,Flush,,Flush_NA,N,Y,,,0,1,0,0,0,0,0,1,0,0,Y,Covered_adobe,CementFiber,Ceramic,2,House,5_Or_More
