list_name;name;label;order;;;;;;;;
Intro_and_Info;InformationOK;I (enumerator) informed the respondent about the purpose of the survey, and gave him/her the information sheet. All questions were answered satisfactorily.;;;;;;;;;
Intro_and_Info;InformationNotOK;Respondent did NOT receive the information sheet or still has questions about the survey.;;;;;;;;;
Informed_consent;Consent_OK;The participant gave his/her informed consent to participate. (Proceed survey);;;;;;;;;
Informed_consent;Consent_NOT_OK;The participant did NOT give his/her informed consent to participate. (End survey);;;;;;;;;
CountCheck_HH_members;Y;Yes;;;;;;;;;
CountCheck_HH_members;N;No;;;;;;;;;
Relation_to_HH;Head;Head of household;;;;;;;;;
Relation_to_HH;W_H;Wife or husband;;;;;;;;;
Relation_to_HH;S_D;Son or daughter;;;;;;;;;
Relation_to_HH;GndC;Grandchild;;;;;;;;;
Relation_to_HH;Par;Parent;;;;;;;;;
Relation_to_HH;Other;Other relative;;;;;;;;;
Relation_to_HH;Nrel;Not related;;;;;;;;;
Relation_to_HH;NA;Does not know / prefers not to answer;;;;;;;;;
Lives_Here;Y;Yes;;;;;;;;;
Lives_Here;N;No;;;;;;;;;
Lives_Here;NA;Does not know / prefers not to answer;;;;;;;;;
Sex;M;Male;;;;;;;;;
Sex;F;Female;;;;;;;;;
Sex;T;Transexual;;;;;;;;;
Sex;NA;Does not know / prefers not to answer;;;;;;;;;
Time_In_HH;0_2;LESS than 2 weeks;;;;;;;;;
Time_In_HH;2_4;2 to 4 weeks;;;;;;;;;
Time_In_HH;4_more;MORE than 4 weeks;;;;;;;;;
Time_In_HH;NA;Does not know / prefers not to answer;;;;;;;;;
Diarrhoea;Y;Yes;;;;;;;;;
Diarrhoea;N;No;;;;;;;;;
Diarrhoea;NA;Does not know / prefers not to answer;;;;;;;;;
TreatmentDiarr;Y;Yes;;;;;;;;;
TreatmentDiarr;N;No;;;;;;;;;
TreatmentDiarr;NA;Does not know / prefers not to answer;;;;;;;;;
FacilityType;CHV;Community health volunteer;;;;;;;;;
FacilityType;Public;Public;;;;;;;;;
FacilityType;Private;Private;;;;;;;;;
FacilityType;NA;Does not know / prefers not to answer;;;;;;;;;
FacilityType_Public;Pub_Disp;Dispensary;;;;;;;;;
FacilityType_Public;Pub_Clinic;Clinic;;;;;;;;;
FacilityType_Public;Pub_HC_Hosp;Health centre / hospital;;;;;;;;;
FacilityType_Public;NA;Does not know / prefers not to answer;;;;;;;;;
FacilityType_Private;Pr_Ch_Ph;Chemist or pharmacy;;;;;;;;;
FacilityType_Private;Pr_Hosp;Private hospital;;;;;;;;;
FacilityType_Private;Pr_NGO;NGO health centre;;;;;;;;;
FacilityType_Private;NA;Does not know / prefers not to answer;;;;;;;;;
FacilityDistance;Near;Near (15 minutes walk or less);;;;;;;;;
FacilityDistance;ModNear;Moderately near (15 to 30 min. walk);;;;;;;;;
FacilityDistance;Far;Far away (motorised transport required);;;;;;;;;
FacilityDistance;NA;Does not know / prefers not to answer;;;;;;;;;
OtherFacilitySevere;SameFacility;To the SAME facility;;;;;;;;;
OtherFacilitySevere;OtherFacility;To ANOTHER health facility;;;;;;;;;
OtherFacilitySevere;NA;Does not know / prefers not to answer;;;;;;;;;
School_past;Early_CdE;Early childhood education;;;;;;;;;
School_past;Primary;Primary school;;;;;;;;;
School_past;Secondary;Secondary school;;;;;;;;;
School_past;High_Ed;Higher education;;;;;;;;;
School_past;No_Edu;NO education (never attended school);;;;;;;;;
School_past;NA;Does not know / prefers not to answer;;;;;;;;;
School_current;Y;Yes;;;;;;;;;
School_current;N;No;;;;;;;;;
School_current;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterGroup;Private;PRIVATE/SEMI-PRIVATE source in dwelling or yard belonging to you or a neighbour;;;;;;;;;
DrinkingWaterGroup;Public;PUBLIC/COMMERCIAL source located in a public space;;;;;;;;;
DrinkingWaterGroup;Surface;SURFACE water (river/lake/pond/canal);;;;;;;;;
DrinkingWaterGroup;NA;Prefers not to answer;;;;;;;;;
DrinkingWater_Private;Piped_dwel;PIPED: into dwelling;;;;;;;;;
DrinkingWater_Private;Piped_yard;PIPED: to own yard or plot;;;;;;;;;
DrinkingWater_Private;Piped_neigh;PIPED: to neighbour's dwelling or yard;;;;;;;;;
DrinkingWater_Private;Ground_tube;GROUND: tube well or borehole;;;;;;;;;
DrinkingWater_Private;Ground_wellOK;GROUND: protected well;;;;;;;;;
DrinkingWater_Private;Ground_well_NotOK;GROUND: unprotected well;;;;;;;;;
DrinkingWater_Private;RainWater;RAINWATER;;;;;;;;;
DrinkingWater_Private;Other;OTHER;;;;;;;;;
DrinkingWater_Private;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWater_Public;Public_Tap;TAP;;;;;;;;;
DrinkingWater_Public;Public_Dispenser;DISPENSER or 'ATM';;;;;;;;;
DrinkingWater_Public;Vendor;VENDOR: water boozer or street vendor;;;;;;;;;
DrinkingWater_Public;Ground_tube;GROUND: tube well or borehole;;;;;;;;;
DrinkingWater_Public;Ground_wellOK;GROUND: protected well;;;;;;;;;
DrinkingWater_Public;Ground_well_NotOK;GROUND: unprotected well;;;;;;;;;
DrinkingWater_Public;Other;OTHER;;;;;;;;;
DrinkingWater_Public;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWater_PublicVendor;Vendor_Truck;Water BOOZER;;;;;;;;;
DrinkingWater_PublicVendor;Vendor_Cart;CART;;;;;;;;;
DrinkingWater_PublicVendor;Vendor_Bottled;BOTTLED water;;;;;;;;;
DrinkingWater_PublicVendor;Vendor_Sachet;SACHET water;;;;;;;;;
DrinkingWater_PublicVendor;Other;OTHER;;;;;;;;;
DrinkingWater_PublicVendor;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWater_PublicSpec;Y;Yes;;;;;;;;;
DrinkingWater_PublicSpec;N;No;;;;;;;;;
DrinkingWater_PublicSpec;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterPay1;Y;Yes;;;;;;;;;
DrinkingWaterPay1;N;No;;;;;;;;;
DrinkingWaterPay1;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterLocation;Indicated;Drinking water source has been indicated on map;;;;;;;;;
DrinkingWaterLocation;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterContainer;Plastic_Open;PLASTIC: OPEN container;;;;;;;;;
DrinkingWaterContainer;Plastic_Closed;PLASTIC: CLOSED container;;;;;;;;;
DrinkingWaterContainer;Metal_Open;METALLIC: OPEN container;;;;;;;;;
DrinkingWaterContainer;Metal_Closed;METALLIC: CLOSED container;;;;;;;;;
DrinkingWaterContainer;Other_Open;OTHER material: OPEN container;;;;;;;;;
DrinkingWaterContainer;Other_Closed;OTHER material: CLOSED container;;;;;;;;;
DrinkingWaterContainer;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterContainer2;Only_one;NO OTHER CONTAINER;;;;;;;;;
DrinkingWaterContainer2;Plastic_Open;PLASTIC: OPEN container;;;;;;;;;
DrinkingWaterContainer2;Plastic_Closed;PLASTIC: CLOSED container;;;;;;;;;
DrinkingWaterContainer2;Metal_Open;METALLIC: OPEN container;;;;;;;;;
DrinkingWaterContainer2;Metal_Closed;METALLIC: CLOSED container;;;;;;;;;
DrinkingWaterContainer2;Other_Open;OTHER material: OPEN container;;;;;;;;;
DrinkingWaterContainer2;Other_Closed;OTHER material: CLOSED container;;;;;;;;;
DrinkingWaterContainer2;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterAvailability;Y;Yes;;;;;;;;;
DrinkingWaterAvailability;N;No;;;;;;;;;
DrinkingWaterAvailability;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterTreatment;Y;Yes;;;;;;;;;
DrinkingWaterTreatment;N;No;;;;;;;;;
DrinkingWaterTreatment;NA;Does not know / prefers not to answer;;;;;;;;;
DrinkingWaterTreatment2;Boil;Boil;;;;;;;;;
DrinkingWaterTreatment2;BleachChlorine;Add bleach / chlorine;;;;;;;;;
DrinkingWaterTreatment2;Strain;Strain through a cloth;;;;;;;;;
DrinkingWaterTreatment2;Filter;Use water filter (ceramic / sand / composite);;;;;;;;;
DrinkingWaterTreatment2;SolarDesinf;Solar desinfection;;;;;;;;;
DrinkingWaterTreatment2;Settle;Let it stand and settle;;;;;;;;;
DrinkingWaterTreatment2;Other;Other;;;;;;;;;
DrinkingWaterTreatment2;NA;Does not know / prefers not to answer;;;;;;;;;
HandWashHabits_a;Food;BEFORE preparing food?;;;;;;;;;
HandWashHabits_a;Eating;BEFORE eating?;;;;;;;;;
HandWashHabits_a;Diapers;AFTER changing diapers?;;;;;;;;;
HandWashHabits_a;Toilet;AFTER going to the toilet?;;;;;;;;;
HandWashHabits_a;NA;Does not know / prefers not to answer;;;;;;;;;
HandWashHabits_b;Food;BEFORE preparing food?;;;;;;;;;
HandWashHabits_b;Eating;BEFORE eating?;;;;;;;;;
HandWashHabits_b;Toilet;AFTER going to the toilet?;;;;;;;;;
HandWashHabits_b;NA;Does not know / prefers not to answer;;;;;;;;;
ObsHandWash;Y;Yes;;;;;;;;;
ObsHandWash;NotObs_NoPermission;NO : No permission to see;;;;;;;;;
ObsHandWash;NotObs_NotInDwel;NO : Not in dwelling / yard;;;;;;;;;
ObsHandWash;NotObs_Other;NO : Other reason;;;;;;;;;
ObsHandWashPLACE;Obs_Fixed;Fixed place;;;;;;;;;
ObsHandWashPLACE;Obs_Mobile;Mobile amenity / hygiene utensils;;;;;;;;;
ObsHandWashWATER;Water_OK;Water is available;;;;;;;;;
ObsHandWashWATER;Water_NOT_OK;Water is NOT available;;;;;;;;;
ObsHandWashSOAP;SoapOrDeterg;Soap or detergent (bar, liquid, powder or paste);;;;;;;;;
ObsHandWashSOAP;AshOrMudOrSand;Ash, mud or sand;;;;;;;;;
ObsHandWashSOAP;None;None;;;;;;;;;
StreetFood;0_1;0-1 time per week;;;;;;;;;
StreetFood;2_4;2-4 times per week;;;;;;;;;
StreetFood;5_Or_More;5 or more times per week;;;;;;;;;
StreetFood;NA;Does not know / prefers not to answer;;;;;;;;;
ToiletFacility;Own_Dwelling;In own dwelling;;;;;;;;;
ToiletFacility;Own_YardPlot;In own yard or plot;;;;;;;;;
ToiletFacility;Neighb_Dwelling;In a neighbour's dwelling;;;;;;;;;
